WEEK 1:,,,
,Los Angeles Rams @ Baltimore Ravens,1:00 PM,M&T Bank Stadium Baltimore MD
,Minnesota Vikings @ Las Vegas Raiders,4:05 PM,Allegiant Stadium Las Vegas NV
,Seattle Seahawks @ San Francisco 49ers,4:05 PM,Levi's Stadium Santa Clara CA
,Buffalo Bills @ Kansas City Chiefs,4:25 PM,GEHA Field at Arrowhead Stadium Kansas City MO
,Denver Broncos @ Los Angeles Chargers,4:25 PM,SoFi Stadium Inglewood CA
,Philadelphia Eagles @ Dallas Cowboys,8:20 PM,AT&T Stadium Arlington TX
Monday December 11 2023,Tennessee Titans @ Miami Dolphins,8:15 PM,Hard Rock Stadium Miami Gardens FL
,Green Bay Packers @ New York Giants,8:15 PM,MetLife Stadium East Rutherford NJ
WEEK 15:,,,
Thursday December 14 2023,Los Angeles Chargers @ Las Vegas Raiders,8:15 PM,Allegiant Stadium Las Vegas NV
Sunday December 17 2023,Minnesota Vikings @ Cincinnati Bengals,TBD,Paycor Stadium Cincinnati OH
,Chicago Bears @ Cleveland Browns,TBD,Cleveland Browns Stadium Cleveland OH
,Denver Broncos @ Detroit Lions,TBD,Ford Field Detroit MI
,Pittsburgh Steelers @ Indianapolis Colts,TBD,Lucas Oil Stadium Indianapolis IN
,Atlanta Falcons @ Carolina Panthers,TBD,Bank of America Stadium Charlotte NC
,Tampa Bay Buccaneers @ Green Bay Packers,1:00 PM,Lambeau Field Green Bay WI
,Houston Texans @ Tennessee Titans,1:00 PM,Nissan Stadium Nashville TN
,New York Jets @ Miami Dolphins,1:00 PM,Hard Rock Stadium Miami Gardens FL
,New York Giants @ New Orleans Saints,1:00 PM,Caesars Superdome New Orleans LA
,Washington Commanders @ Los Angeles Rams,4:05 PM,SoFi Stadium Inglewood CA
,San Francisco 49ers @ Arizona Cardinals,4:05 PM,State Farm Stadium Glendale AZ
,Dallas Cowboys @ Buffalo Bills,4:25 PM,Highmark Stadium Orchard Park NY
,Philadelphia Eagles @ Seattle Seahawks,4:25 PM,Lumen Field Seattle WA
,Baltimore Ravens @ Jacksonville Jaguars,8:20 PM,TIAA Bank Field Jacksonville FL
Monday December 18 2023,Kansas City Chiefs @ New England Patriots,8:15 PM,Gillette Stadium Foxboro MA
WEEK 16:,,,
Thursday December 21 2023,New Orleans Saints @ Los Angeles Rams,8:15 PM,SoFi Stadium Inglewood CA
Saturday December 23 2023,Cincinnati Bengals @ Pittsburgh Steelers,4:30 PM,Acrisure Stadium Pittsburgh PA
,Buffalo Bills @ Los Angeles Chargers,8:00 PM,SoFi Stadium Inglewood CA
Sunday December 24 2023,Indianapolis Colts @ Atlanta Falcons,1:00 PM,Mercedes-Benz Stadium Atlanta GA
,Seattle Seahawks @ Tennessee Titans,1:00 PM,Nissan Stadium Nashville TN
,Detroit Lions @ Minnesota Vikings,1:00 PM,U.S. Bank Stadium Minneapolis MN
,Washington Commanders @ New York Jets,1:00 PM,MetLife Stadium East Rutherford NJ
,Green Bay Packers @ Carolina Panthers,1:00 PM,Bank of America Stadium Charlotte NC
,Cleveland Browns @ Houston Texans,1:00 PM,NRG Stadium Houston TX
,Jacksonville Jaguars @ Tampa Bay Buccaneers,4:05 PM,Raymond James Stadium Tampa FL
,Arizona Cardinals @ Chicago Bears,4:25 PM,Soldier Field Chicago IL
,Dallas Cowboys @ Miami Dolphins,4:25 PM,Hard Rock Stadium Miami Gardens FL
,New England Patriots @ Denver Broncos,8:15 PM,Empower Field at Mile High Denver CO
Monday December 25 2023,Las Vegas Raiders @ Kansas City Chiefs,1:00 PM,GEHA Field at Arrowhead Stadium Kansas City MO
,New York Giants @ Philadelphia Eagles,4:30 PM,Lincoln Financial Field Philadelphia PA
,Baltimore Ravens @ San Francisco 49ers,8:15 PM,Levi's Stadium Santa Clara CA
WEEK 17:,,,
Thursday December 28 2023,New York Jets @ Cleveland Browns,8:15 PM,Cleveland Browns Stadium Cleveland OH
Saturday December 30 2023,Detroit Lions @ Dallas Cowboys,8:15 PM,AT&T Stadium Arlington TX
Sunday December 31 2023,New England Patriots @ Buffalo Bills,1:00 PM,Highmark Stadium Orchard Park NY
,Atlanta Falcons @ Chicago Bears,1:00 PM,Soldier Field Chicago IL
,Las Vegas Raiders @ Indianapolis Colts,1:00 PM,Lucas Oil Stadium Indianapolis IN
,Los Angeles Rams @ New York Giants,1:00 PM,MetLife Stadium East Rutherford NJ
,Arizona Cardinals @ Philadelphia Eagles,1:00 PM,Lincoln Financial Field Philadelphia PA
,New Orleans Saints @ Tampa Bay Buccaneers,1:00 PM,Raymond James Stadium Tampa FL
,San Francisco 49ers @ Washington Commanders,1:00 PM,FedExField Landover MD
,Carolina Panthers @ Jacksonville Jaguars,1:00 PM,TIAA Bank Field Jacksonville FL
,Miami Dolphins @ Baltimore Ravens,1:00 PM,M&T Bank Stadium Baltimore MD
,Tennessee Titans @ Houston Texans,1:00 PM,NRG Stadium Houston TX
,Pittsburgh Steelers @ Seattle Seahawks,4:05 PM,Lumen Field Seattle WA
,Los Angeles Chargers @ Denver Broncos,4:25 PM,Empower Field at Mile High Denver CO
,Cincinnati Bengals @ Kansas City Chiefs,4:25 PM,GEHA Field at Arrowhead Stadium Kansas City MO
,Green Bay Packers @ Minnesota Vikings,8:20 PM,U.S. Bank Stadium Minneapolis MN
WEEK 18:,,,
Sunday January 7 2024,Cleveland Browns @ Cincinnati Bengals,TBD,Paycor Stadium Cincinnati OH
,Minnesota Vikings @ Detroit Lions,TBD,Ford Field Detroit MI
,Chicago Bears @ Green Bay Packers,TBD,Lambeau Field Green Bay WI
,Jacksonville Jaguars @ Tennessee Titans,TBD,Nissan Stadium Nashville TN
,Houston Texans @ Indianapolis Colts,TBD,Lucas Oil Stadium Indianapolis IN
,Denver Broncos @ Las Vegas Raiders,TBD,Allegiant Stadium Las Vegas NV
,Buffalo Bills @ Miami Dolphins,TBD,Hard Rock Stadium Miami Gardens FL
,New York Jets @ New England Patriots,TBD,Gillette Stadium Foxboro MA
,Atlanta Falcons @ New Orleans Saints,TBD,Caesars Superdome New Orleans LA
,Philadelphia Eagles @ New York Giants,TBD,MetLife Stadium East Rutherford NJ
,Seattle Seahawks @ Arizona Cardinals,TBD,State Farm Stadium Glendale AZ
,Kansas City Chiefs @ Los Angeles Chargers,TBD,SoFi Stadium Inglewood CA
,Los Angeles Rams @ San Francisco 49ers,TBD,Levi's Stadium Santa Clara CA
,Dallas Cowboys @ Washington Commanders,TBD,FedExField Landover MD
,Tampa Bay Buccaneers @ Carolina Panthers,TBD,Bank of America Stadium Charlotte NC
,Pittsburgh Steelers @ Baltimore Ravens,TBD,M&T Bank Stadium Baltimore MD
